,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1734,Maruti Suzuki,Omni,,2004,Manual,Petrol,0 km,3rd,"85,000",karnataka
1735,Toyota,Glanza,,2019,Automatic,Petrol,"12,121 km",2nd,"8,25,000",karnataka
1736,Ambassador,Ambassador,,2008,Automatic,Petrol,"250,000 km",2nd,"1,80,000",karnataka
1737,Audi,Q3,,2012,Automatic,Diesel,"65,076 km",2nd,"17,00,000",karnataka
1738,Volkswagen,Vento,,2012,Manual,Diesel,"77,000 km",1st,"4,95,000",karnataka
1739,Tata,Indica Vista,,2013,Manual,Diesel,"132,000 km",1st,"2,00,000",karnataka
1740,Toyota,Innova Crysta,,2018,Automatic,Diesel,"75,000 km",1st,"23,20,000",karnataka
1741,Maruti Suzuki,Alto 800,,2016,Manual,Petrol,"19,560 km",-,"3,15,000",karnataka
1742,Maruti Suzuki,Ignis,,2017,Automatic,Petrol,37 km,1st,"5,90,000",karnataka
1743,Maruti Suzuki,Eeco,,2020,Manual,Petrol,"8,500 km",1st,"4,65,000",karnataka
1744,Maruti Suzuki,800,,2000,Automatic,LPG,"66,000 km",4+,"65,000",karnataka
1745,Maruti Suzuki,Wagon R,,2007,Manual,Petrol,"104,000 km",3rd,"1,65,000",karnataka
1746,Honda,City ZX,,2005,Automatic,Petrol,"92,000 km",3rd,"1,45,000",karnataka
1747,Mercedes-Benz,GL-Class,,2015,Automatic,Diesel,"45,000 km",1st,"52,75,000",karnataka
1748,Maruti Suzuki,Zen Estilo,,2008,Manual,Petrol,"56,900 km",1st,"2,45,000",karnataka
1749,Maruti Suzuki,Swift,,2014,Automatic,Diesel,"54,000 km",2nd,"4,80,000",karnataka
1750,Hyundai,i10,,2009,-,-,"66,000 km",1st,"3,50,000",karnataka
1751,Hyundai,Verna,,2009,-,-,"83,000 km",1st,"3,50,000",karnataka
1752,Mercedes-Benz,CLA,,2015,Automatic,Diesel,"22,000 km",1st,"26,00,000",karnataka
1753,Mercedes-Benz,M-Class,,2015,Automatic,Diesel,"64,000 km",1st,"34,25,000",karnataka
1754,Honda,City,,2005,Manual,Petrol,"99,000 km",2nd,"2,00,000",karnataka
1755,Maruti Suzuki,Swift,,2010,Manual,Petrol,"72,000 km",2nd,"3,75,000",karnataka
1756,Hyundai,Getz,,2006,Manual,Petrol,"145,000 km",1st,"1,85,000",karnataka
1757,Maruti Suzuki,Swift,,2014,Manual,Diesel,"103,000 km",1st,"5,50,000",karnataka
1758,Volkswagen,Polo,,2017,-,-,"57,000 km",1st,"7,50,000",karnataka
1759,Hyundai,i10,,2015,Manual,Petrol,"39,000 km",1st,"4,45,000",karnataka
1760,Honda,Jazz,,2017,Manual,Petrol,"30,497 km",1st,"6,70,000",karnataka
1761,Maruti Suzuki,Ertiga,,2018,Manual,Diesel,"78,000 km",1st,"11,50,000",karnataka
1762,Maruti Suzuki,Swift,,2014,Manual,Petrol,"43,228 km",2nd,"4,75,000",karnataka
1763,Volkswagen,Vento,,2013,Manual,Diesel,"42,000 km",2nd,"4,50,000",karnataka
1764,Toyota,Fortuner,,2014,Manual,Diesel,"81,000 km",1st,"17,50,000",karnataka
1765,Ford,Ecosport,,2014,Manual,Petrol,"68,000 km",2nd,"6,70,000",karnataka
1766,Hyundai,Santro Xing,,2008,Manual,Petrol,"50,000 km",1st,"1,95,000",karnataka
1767,Maruti Suzuki,SX4,,2013,Manual,Petrol,"139,000 km",2nd,"3,60,000",karnataka
1768,Toyota,Innova,,2009,Manual,Diesel,"153,000 km",2nd,"7,25,000",karnataka
1769,Hyundai,Creta,,2016,Manual,Petrol,"66,000 km",1st,"8,65,000",karnataka
1770,Tata,Indica V2 Xeta,,2007,Manual,Petrol,"95,000 km",3rd,"1,40,000",karnataka
1771,Honda,Accord,,2005,-,-,"75,000 km",1st,"3,50,000",karnataka
1772,Hyundai,Santro Xing,,2004,Manual,Petrol,"39,400 km",1st,"1,80,000",karnataka
1773,Toyota,Fortuner,,2013,Manual,Diesel,"164,000 km",2nd,"14,25,000",karnataka
1774,Fiat,Linea,,2009,Manual,Diesel,"200,000 km",3rd,"2,35,000",karnataka
1775,Mahindra,Scorpio,,2006,Manual,Diesel,"170,000 km",4th,"2,80,000",karnataka
1776,Audi,Q5,,2014,Automatic,Diesel,"79,000 km",2nd,"18,50,000",karnataka
1777,Toyota,Fortuner,,2012,Manual,Diesel,"112,000 km",1st,"15,75,000",karnataka
1778,Audi,A4,,2009,Automatic,Diesel,"88,000 km",3rd,"9,75,000",karnataka
1779,Maruti Suzuki,Alto 800,,2012,Manual,Petrol,"102,000 km",1st,"2,75,000",karnataka
1780,Ford,Endeavour,,2018,Automatic,Diesel,"21,300 km",1st,"34,45,000",karnataka
1781,Hyundai,Elite i20,,2018,Manual,Petrol,"53,700 km",1st,"6,30,000",karnataka
1782,Hyundai,Santa Fe,,2014,Automatic,Diesel,"16,000 km",1st,"18,50,000",karnataka
1783,Tata,Sumo Gold,,2012,Manual,Diesel,265 km,4th,"3,30,000",karnataka
1784,Maruti Suzuki,Wagon R,,2008,Manual,Petrol,"152,000 km",2nd,"2,25,000",karnataka
1785,Maruti Suzuki,Omni,,2008,Manual,Petrol,"115,000 km",2nd,"1,85,000",karnataka
1786,Hyundai,New Elantra,,2012,Manual,Diesel,"108,600 km",2nd,"6,50,000",karnataka
1787,Chevrolet,Spark,,2008,Manual,Petrol,"42,000 km",1st,"1,65,000",karnataka
1788,Chevrolet,Sail,,2013,Manual,Petrol,"75,000 km",1st,"2,85,000",karnataka
1789,Honda,Brio,,2016,Automatic,Petrol,"50,000 km",2nd,"6,35,000",karnataka
1790,Maruti Suzuki,Swift,,2014,Manual,Diesel,"53,000 km",2nd,"5,55,000",karnataka
1791,Maruti Suzuki,Swift,,2009,Manual,Diesel,"83,000 km",1st,"2,95,000",karnataka
1792,Hyundai,Accent,,2008,Manual,Petrol,"76,467 km",2nd,"1,70,000",karnataka
1793,Mahindra,Logan,,2008,Manual,Diesel,"190,000 km",4+,"1,80,000",karnataka
1794,Honda,City ZX,,2007,Manual,Petrol,"122,000 km",2nd,"1,85,000",karnataka
