,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
70,Maruti Suzuki,Swift Dzire,,2019,Manual,Diesel,"34,000 km",1st,"7,99,000",Mumbai
71,-,-,,-,-,-,-,-,-,Mumbai
72,Hyundai,i20,,2011,Manual,Diesel,"63,000 km",2nd,"3,75,000",Mumbai
73,Hyundai,EON,,2018,Manual,Petrol,"25,000 km",2nd,"2,70,000",Mumbai
74,Maruti Suzuki,Vitara Brezza,,2016,Manual,Diesel,"48,000 km",1st,"8,75,000",Mumbai
75,Maruti Suzuki,Wagon R,,2014,Manual,CNG & Hybrids,"60,000 km",1st,"3,60,000",Mumbai
76,Hyundai,Santro Xing,,2009,Manual,Petrol,"47,000 km",2nd,"1,45,000",Mumbai
77,Nissan,Terrano,,2017,Automatic,Diesel,"68,000 km",1st,"9,25,000",Mumbai
78,Tata,Indica V2,,2004,Manual,Diesel,"80,746 km",1st,"88,000",Mumbai
79,Maruti Suzuki,Ertiga,,2016,Manual,Diesel,"85,000 km",1st,"7,60,000",Mumbai
80,Honda,City,,2011,Automatic,Petrol,"43,721 km",-,"4,00,000",Mumbai
81,Volkswagen,Polo,,2017,Manual,Petrol,"36,100 km",1st,"5,75,000",Mumbai
82,Honda,Jazz,,2016,Automatic,Petrol,"70,000 km",1st,"6,61,000",Mumbai
83,Honda,City,,2014,Automatic,Petrol,"39,000 km",1st,"5,95,000",Mumbai
84,Toyota,Innova,,2011,Manual,Diesel,"195,000 km",1st,"6,61,000",Mumbai
85,Maruti Suzuki,Others,,2019,Manual,Diesel,"31,000 km",1st,"4,41,000",Mumbai
86,Honda,City,,2012,Manual,Petrol,"47,000 km",1st,"5,15,000",Mumbai
87,Honda,City,,2012,Automatic,Petrol,"47,000 km",1st,"5,15,000",Mumbai
88,Hyundai,Verna,,2010,Manual,Diesel,"96,000 km",2nd,"2,65,000",Mumbai
89,Audi,A4,,2018,Automatic,Diesel,"11,261 km",1st,"34,00,000",Mumbai
90,Toyota,Innova,,2010,Manual,Diesel,"70,000 km",-,"5,25,000",Mumbai
91,Mahindra,Scorpio,,2015,Manual,Diesel,"51,000 km",1st,"7,78,000",Mumbai
92,Honda,Amaze,,2013,Manual,Diesel,"58,000 km",1st,"4,25,013",Mumbai
93,Honda,City,,2013,Automatic,Petrol,"62,000 km",2nd,"4,75,000",Mumbai
94,Maruti Suzuki,Vitara Brezza,,2019,Manual,Diesel,"27,000 km",1st,"10,90,000",Mumbai
95,Volkswagen,Vento,,2011,Automatic,Petrol,"68,000 km",3rd,"3,35,000",Mumbai
96,Honda,Amaze,,2015,Manual,Diesel,"55,000 km",1st,"4,75,000",Mumbai
97,Mahindra,Xylo,,2009,Manual,Diesel,"92,000 km",1st,"2,49,000",Mumbai
98,Mercedes-Benz,E-Class,,2012,Automatic,Diesel,"66,563 km",2nd,"13,50,000",Mumbai
