,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
949,Maruti Suzuki,Ritz,,2016,Manual,Diesel,"128,000 km",2nd,"3,25,000",Chennai
950,Skoda,Rapid,,2017,Manual,Diesel,"97,000 km",1st,"7,25,000",Chennai
951,Ford,Ecosport,,2014,Automatic,Petrol,"24,000 km",1st,"6,30,000",Chennai
952,Mercedes-Benz,GLE Class,,2016,Automatic,Diesel,"25,000 km",2nd,"43,50,000",Chennai
953,Toyota,Etios,,2019,Manual,Diesel,"52,000 km",1st,"8,20,000",Chennai
954,Maruti Suzuki,Ertiga,,2013,Manual,Diesel,"91,000 km",2nd,"5,30,000",Chennai
955,Fiat,Linea,,2014,Manual,Petrol,"52,000 km",2nd,"3,60,000",Chennai
956,Hyundai,i10,,2009,Manual,Petrol,"64,000 km",1st,"2,75,000",Chennai
957,Nissan,Micra,,2010,Manual,Petrol,"83,000 km",1st,"2,90,000",Chennai
958,Toyota,Fortuner,,2016,Manual,Diesel,"172,000 km",1st,"21,00,000",Chennai
959,Ford,Fiesta,,2010,Manual,Diesel,"119,000 km",1st,"3,50,000",Chennai
960,Toyota,Innova Crysta,,2016,Automatic,Diesel,"71,000 km",1st,"18,24,000",Chennai
961,Toyota,Innova,,2011,Manual,Diesel,"130,000 km",1st,"9,50,000",Chennai
962,Toyota,Innova,,2013,Manual,Diesel,"200,000 km",1st,"6,90,000",Chennai
963,Chevrolet,Tavera,,2005,Manual,Diesel,"140,000 km",3rd,"2,25,000",Chennai
964,Maruti Suzuki,Eeco,,2017,Manual,Petrol,"39,000 km",1st,"4,09,999",Chennai
965,-,-,,-,-,-,-,-,-,Chennai
966,Toyota,Innova Crysta,,2020,Automatic,Diesel,"6,000 km",1st,"26,25,000",Chennai
967,Tata,Hexa,,2017,Automatic,Diesel,"50,000 km",1st,"14,50,000",Chennai
968,Mahindra,TUV 300,,2016,Manual,Diesel,"85,000 km",1st,"7,00,000",Chennai
969,Maruti Suzuki,800,,2008,Manual,Petrol,"49,000 km",2nd,"1,55,000",Chennai
970,Hyundai,i20,,2009,Manual,Diesel,"64,000 km",2nd,"3,50,000",Chennai
971,Mahindra,Xylo,,2010,Manual,Diesel,"70,000 km",2nd,"4,60,000",Chennai
972,Honda,City,,2016,Manual,Petrol,"73,000 km",1st,"6,50,000",Chennai
973,Maruti Suzuki,Swift,,2007,Manual,Petrol,"53,000 km",1st,"3,00,000",Chennai
974,Toyota,Etios,,2014,Manual,Petrol,"49,000 km",1st,"4,75,000",Chennai
975,Hyundai,EON,,2018,Manual,Petrol,"59,000 km",1st,"3,90,000",Chennai
976,Honda,City,,2012,Manual,Petrol,"62,000 km",2nd,"5,30,000",Chennai
977,Maruti Suzuki,Ciaz,,2018,Automatic,Petrol,"40,000 km",1st,"7,75,000",Chennai
978,Maruti Suzuki,Grand Vitara,,2019,Manual,Diesel,"35,000 km",1st,"9,50,000",Chennai
979,Maruti Suzuki,Ciaz,,2016,Manual,Diesel,"53,000 km",2nd,"7,10,000",Chennai
980,Renault,KWID,,2018,Automatic,Petrol,"17,580 km",1st,"4,75,000",Chennai
981,Mahindra,Bolero,,2009,Manual,Diesel,"150,000 km",1st,"4,95,000",Chennai
982,Maruti Suzuki,Swift Dzire,,2008,Manual,Diesel,"90,000 km",2nd,"3,25,000",Chennai
983,Maruti Suzuki,Alto K10,,2014,Automatic,Petrol,"24,000 km",2nd,"3,00,000",Chennai
984,Maruti Suzuki,Esteem,,2005,Manual,Petrol,"57,000 km",1st,"1,65,000",Chennai
985,Nissan,Sunny,,2014,Manual,Diesel,"90,000 km",1st,"4,50,000",Chennai
986,Hyundai,Verna,,2014,Manual,Diesel,"144,247 km",1st,"6,00,000",Chennai
987,Ford,Figo,,2013,Manual,Diesel,"98,000 km",1st,"3,60,000",Chennai
988,Hyundai,Grand i10,,2018,Manual,Petrol,"23,000 km",2nd,"4,90,000",Chennai
989,Audi,A4,,2010,Automatic,Diesel,"119,000 km",2nd,"11,00,000",Chennai
990,Audi,Q7,,2014,Automatic,Diesel,"140,000 km",1st,"25,00,000",Chennai
991,BMW,3 Series,,2020,Automatic,Diesel,"6,500 km",1st,"48,00,000",Chennai
992,Renault,Lodgy,,2015,Manual,Diesel,"57,000 km",1st,"6,45,000",Chennai
993,Ford,Figo,,2013,Manual,Diesel,"73,000 km",1st,"3,65,000",Chennai
994,Toyota,Innova,,2013,Manual,Diesel,"90,000 km",1st,"12,25,000",Chennai
995,Maruti Suzuki,Alto 800,,2015,Manual,Petrol,"85,000 km",1st,"2,86,000",Chennai
996,Mahindra,XUV500,,2014,Manual,Diesel,"66,000 km",1st,"9,75,000",Chennai
997,Hyundai,Xcent,,2014,Manual,Petrol,"53,000 km",1st,"4,10,000",Chennai
998,Skoda,Rapid,,2016,Manual,Diesel,"98,000 km",2nd,"6,45,000",Chennai
999,Mahindra,Xylo,,2019,Manual,Diesel,"38,367 km",1st,"8,90,000",Chennai
1000,Tata,Tiago,,2019,Automatic,Petrol,"13,000 km",1st,"5,85,000",Chennai
1001,Toyota,Etios,,2018,Manual,Diesel,"80,000 km",1st,"7,50,000",Chennai
1002,Ford,Figo,,2011,Manual,Diesel,"112,844 km",1st,"2,23,700",Chennai
1003,Nissan,Micra,,2012,-,Diesel,"117,000 km",1st,"3,60,000",Chennai
1004,Maruti Suzuki,Baleno,,2017,Automatic,Petrol,"9,000 km",1st,"7,45,000",Chennai
1005,Maruti Suzuki,S Cross,,2017,Manual,Diesel,"65,000 km",1st,"8,50,000",Chennai
1006,Maruti Suzuki,Swift Dzire,,2013,Manual,Petrol,"67,000 km",1st,"4,80,000",Chennai
1007,Mahindra,XUV500,,2013,Manual,Diesel,"150,000 km",1st,"8,50,000",Chennai
1008,Hyundai,Grand i10,,2016,Manual,Diesel,"49,000 km",1st,"5,45,000",Chennai
1009,Hyundai,Grand i10,,2016,Manual,Diesel,"49,000 km",1st,"5,45,000",Chennai
1010,Maruti Suzuki,Wagon R Stingray,,2015,Manual,Petrol,"37,000 km",1st,"4,85,000",Chennai
1011,-,-,,-,-,-,-,-,-,Chennai
1012,Maruti Suzuki,Ciaz,,2016,Manual,Petrol,"108,000 km",2nd,"5,25,000",Chennai
1013,Honda,Jazz,,2015,Manual,Petrol,"57,000 km",2nd,"5,75,000",Chennai
1014,Hyundai,i10,,2014,Manual,Petrol,"54,000 km",2nd,"3,39,999",Chennai
1015,Renault,KWID,,2018,Manual,Petrol,"17,000 km",1st,"4,25,000",Chennai
1016,Maruti Suzuki,Wagon R,,2014,Manual,Petrol,"29,000 km",2nd,"3,85,000",Chennai
1017,Maruti Suzuki,Celerio,,2017,Manual,Petrol,"33,000 km",2nd,"4,45,000",Chennai
1018,Volkswagen,Polo,,2018,Manual,Petrol,"32,000 km",2nd,"5,85,000",Chennai
1019,Hyundai,Verna,,2013,Manual,Petrol,"68,000 km",1st,"5,40,000",Chennai
1020,Maruti Suzuki,Swift Dzire Tour,,2018,Manual,Diesel,"58,000 km",2nd,"5,50,000",Chennai
1021,Maruti Suzuki,Ciaz,,2016,Manual,Diesel,"78,000 km",2nd,"6,75,000",Chennai
1022,Honda,City,,2015,Manual,Petrol,"45,000 km",1st,"7,50,000",Chennai
1023,Ford,Ecosport,,2018,Automatic,Petrol,"39,000 km",1st,"9,25,000",Chennai
1024,Honda,City,,2017,Manual,Petrol,"25,000 km",1st,"8,75,000",Chennai
1025,Hyundai,Fluidic Verna,,2014,Manual,Petrol,"80,000 km",1st,"5,50,000",Chennai
1026,Maruti Suzuki,Baleno,,2017,Automatic,Petrol,"9,000 km",1st,"7,45,000",Chennai
1027,Ford,Figo,,2013,Manual,Diesel,"127,000 km",2nd,"3,25,000",Chennai
1028,Mahindra,Xylo,,2019,Manual,Diesel,"48,150 km",1st,"8,90,000",Chennai
1029,Skoda,Rapid,,2011,Manual,Diesel,"90,000 km",2nd,"4,00,000",Chennai
1030,Maruti Suzuki,Alto K10,,2012,Manual,Petrol,"19,000 km",2nd,"2,60,000",Chennai
1031,Maruti Suzuki,Wagon R,,2016,Automatic,Petrol,"50,000 km",1st,"4,70,000",Chennai
1032,Chevrolet,Beat,,2010,Manual,Petrol,"73,000 km",2nd,"2,30,000",Chennai
1033,Maruti Suzuki,Swift,,2006,Manual,Petrol,"62,555 km",2nd,"2,65,000",Chennai
1034,Tata,Nano,,2015,Manual,Petrol,"15,000 km",1st,"1,70,000",Chennai
1035,Honda,Civic,,2007,Automatic,Petrol,"119,000 km",2nd,"3,25,000",Chennai
1036,Ford,Figo,,2011,Manual,Diesel,"94,500 km",2nd,"1,75,000",Chennai
1037,Toyota,Qualis,,2002,Manual,Diesel,"98,000 km",1st,"2,95,000",Chennai
1038,Honda,City ZX,,2006,Manual,Petrol,"114,000 km",2nd,"2,35,000",Chennai
1039,Maruti Suzuki,Swift,,2015,Manual,Petrol,"89,000 km",1st,"5,70,000",Chennai
1040,Hyundai,EON,,2013,-,Petrol,"51,000 km",1st,"2,75,000",Chennai
1041,Hyundai,Xcent,,2017,Manual,Diesel,"54,000 km",1st,"4,00,000",Chennai
1042,Hyundai,Creta,,2019,Manual,Diesel,"110,000 km",1st,"8,65,000",Chennai
1043,Toyota,Innova Crysta,,2019,Manual,Diesel,"58,000 km",1st,"21,50,000",Chennai
1044,Toyota,Etios,,2017,Manual,Diesel,"100,000 km",2nd,"6,50,000",Chennai
1045,Honda,WR-V,,2019,Manual,Petrol,"7,385 km",1st,"8,25,000",Chennai
1046,-,-,,-,-,-,-,-,-,Chennai
1047,Hyundai,Santro Xing,,2008,Manual,Petrol,"86,000 km",3rd,"1,45,000",Chennai
