,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1819,Maruti Suzuki,Ertiga,,2017,Manual,Diesel,"38,000 km",2nd,"8,25,000",kerala
1820,Kia,Seltos,,2019,Manual,Petrol,"20,000 km",1st,"13,75,000",kerala
1821,Maruti Suzuki,Swift Dzire,,2015,Manual,Petrol,"29,000 km",2nd,"4,80,000",kerala
1822,Honda,BR-V,,2018,Manual,Diesel,"72,500 km",1st,"5,75,000",kerala
1823,Maruti Suzuki,Alto,,2006,Manual,Petrol,"86,000 km",1st,"1,05,000",kerala
1824,Hyundai,Grand i10,,2008,Manual,Petrol,"79,000 km",-,"1,72,000",kerala
1825,Maruti Suzuki,Estilo,,2007,Manual,Petrol,"71,651 km",2nd,"1,30,000",kerala
1826,Mercedes-Benz,E-Class,,2013,-,-,"50,000 km",2nd,"25,00,000",kerala
1827,Hyundai,EON,,2016,Manual,Petrol,57 km,1st,"2,57,000",kerala
1828,Ashok Leyland,Others,,2018,-,-,"5,555 km",-,"20,00,000",kerala
1829,Maruti Suzuki,Swift,,2014,Manual,Diesel,"83,000 km",1st,"4,50,000",kerala
1830,Maruti Suzuki,Zen,,1998,Manual,Petrol,0 km,4+,"62,000",kerala
1831,Hyundai,EON,,2012,Manual,Petrol,"62,347 km",3rd,"1,85,000",kerala
1832,Mahindra,Scorpio,,2005,Manual,Diesel,"181,000 km",3rd,"1,50,000",kerala
1833,Tata,Indica,,2008,Manual,Diesel,"102,000 km",2nd,"60,000",kerala
1834,Mahindra,Jeep,,1996,Manual,Diesel,"34,000 km",3rd,"2,65,000",kerala
1835,Maruti Suzuki,Eeco,,2017,Manual,Petrol,"35,000 km",2nd,"3,35,000",kerala
1836,Maruti Suzuki,800,,2005,Manual,Petrol,"180,000 km",2nd,"40,000",kerala
1837,Maruti Suzuki,Eeco,,2010,Manual,Petrol,"75,000 km",4th,"1,75,000",kerala
1838,Maruti Suzuki,Zen,,1996,Manual,Petrol,"37,939 km",3rd,"40,000",kerala
1839,Maruti Suzuki,Wagon R,,2009,Manual,LPG,"95,000 km",2nd,"1,70,000",kerala
1840,-,-,,-,-,-,-,-,-,kerala
1841,Renault,Pulse,,2014,Manual,Diesel,"75,000 km",1st,"3,15,000",kerala
1842,Volkswagen,Jetta,,2016,Automatic,Diesel,"89,179 km",3rd,"11,50,000",kerala
1843,Maruti Suzuki,Eeco,,2010,Manual,Petrol,"112,000 km",2nd,"2,10,000",kerala
1844,Tata,Xenon XT,,2014,Manual,Diesel,"62,400 km",2nd,"6,00,000",kerala
1845,Honda,Civic,,2007,Manual,Petrol,85 km,3rd,"1,90,000",kerala
1846,Hyundai,Santro Xing,,2009,Manual,Petrol,"68,000 km",2nd,"1,90,000",kerala
1847,Hyundai,Santro Xing,,2007,Manual,Petrol,"100,000 km",2nd,"1,35,000",kerala
1848,Hyundai,EON,,2015,Manual,Petrol,"28,000 km",2nd,"2,65,000",kerala
1849,Honda,City,,2017,Manual,Diesel,"82,000 km",1st,"8,75,000",kerala
1850,Renault,Duster,,2012,Manual,Diesel,"70,000 km",1st,"6,50,000",kerala
1851,Maruti Suzuki,Swift,,2009,Manual,Petrol,"150,000 km",3rd,"2,20,000",kerala
1852,Honda,Others,,1996,Manual,Petrol,"210,000 km",3rd,"16,500",kerala
1853,Maruti Suzuki,Ciaz,,2014,Manual,Diesel,"119,000 km",2nd,"6,25,000",kerala
1854,Ford,Figo,,2013,Manual,Diesel,"86,032 km",2nd,"2,00,000",kerala
1855,Maruti Suzuki,Zen,,1999,Manual,Petrol,"5,975 km",2nd,"65,000",kerala
1856,Toyota,Innova,,2010,Manual,Diesel,"110,000 km",3rd,"7,50,000",kerala
1857,Hyundai,EON,,2015,Manual,Petrol,"51,000 km",1st,"2,55,000",kerala
1858,Maruti Suzuki,Alto,,2005,Manual,Petrol,"65,000 km",2nd,"1,10,000",kerala
1859,Mahindra,Xylo,,2010,Automatic,Diesel,"98,000 km",2nd,"2,10,000",kerala
1860,Toyota,Glanza,,2020,Manual,Petrol,"8,500 km",1st,"7,50,000",kerala
1861,Volkswagen,Polo,,2015,Automatic,Petrol,"80,000 km",2nd,"5,85,000",kerala
1862,Hyundai,Creta,,2015,Manual,Diesel,"106,000 km",1st,"8,45,000",kerala
1863,Chevrolet,Tavera Neo,,2012,Manual,Diesel,"90,000 km",2nd,"3,90,000",kerala
1864,Toyota,Fortuner,,2011,Manual,Diesel,"75,000 km",1st,"12,00,000",kerala
1865,Maruti Suzuki,Wagon R 1.0,,2013,Manual,Petrol,"54,947 km",2nd,"3,33,000",kerala
1866,Toyota,Etios Liva,,2018,-,Petrol,"37,000 km",1st,"6,75,000",kerala
1867,Maruti Suzuki,Swift,,2016,Manual,Diesel,"50,000 km",1st,"5,85,000",kerala
1868,Volkswagen,Polo,,2014,-,Petrol,"57,000 km",1st,"5,15,000",kerala
1869,Maruti Suzuki,Omni,,2006,Manual,Petrol,"98,000 km",4+,"98,000",kerala
1870,Tata,Indica Vista,,2012,Manual,Diesel,"264,000 km",1st,"1,15,000",kerala
1871,Maruti Suzuki,Ritz,,2011,Manual,Diesel,"122,000 km",3rd,"2,75,000",kerala
1872,Toyota,Fortuner,,2010,Manual,Diesel,"140,000 km",2nd,"10,85,000",kerala
1873,Ambassador,Ambassador,,1999,Manual,Diesel,"79,000 km",3rd,"57,000",kerala
1874,Mahindra,Bolero Pik-Up,,2009,Manual,Diesel,"110,000 km",2nd,"2,20,000",kerala
1875,Toyota,Etios,,2012,Manual,Diesel,"128,000 km",2nd,"2,95,000",kerala
1876,Maruti Suzuki,Zen,,2005,Manual,Petrol,"76,000 km",3rd,"1,15,000",kerala
1877,Maruti Suzuki,Baleno,,2018,Automatic,Petrol,"37,000 km",1st,"7,40,000",kerala
1878,Honda,Brio,,2012,Manual,Petrol,"55,500 km",1st,"3,35,000",kerala
1879,Tata,Others,,2021,Manual,Diesel,"4,000 km",1st,"2,50,000",kerala
1880,Mahindra,Jeep,,1980,Manual,Diesel,"123,000 km",3rd,"2,70,000",kerala
1881,Hyundai,i10,,2011,Manual,Petrol,"48,000 km",1st,"2,47,000",kerala
1882,Toyota,Corolla Altis,,2009,Manual,Petrol,"98,360 km",2nd,"4,35,000",kerala
