,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
217,Maruti Suzuki,Wagon R 1.0,,2011,Manual,Petrol,"86,000 km",1st,"2,00,000",Delhi
218,Audi,A3,,2016,Automatic,Diesel,"45,000 km",2nd,"17,75,000",Delhi
219,Honda,Amaze,,2015,Manual,Diesel,"54,000 km",1st,"4,25,000",Delhi
220,Maruti Suzuki,Celerio X,,2018,Manual,Petrol,"44,284 km",-,"4,02,000",Delhi
221,-,-,,-,-,-,-,-,-,Delhi
222,Honda,City,,2019,Automatic,Petrol,"24,000 km",1st,"11,50,000",Delhi
223,Maruti Suzuki,Estilo,,2010,Manual,Petrol,"50,000 km",1st,"1,70,000",Delhi
224,Hyundai,i20,,2012,Manual,Petrol,"55,000 km",1st,"3,25,000",Delhi
225,Hyundai,i20,,2010,Manual,Petrol,"66,000 km",1st,"2,81,000",Delhi
226,Audi,Q7,,2014,Automatic,Diesel,"86,000 km",1st,"28,00,000",Delhi
227,Maruti Suzuki,Swift,,2016,-,Diesel,"91,000 km",1st,"5,00,000",Delhi
228,Maruti Suzuki,Swift Dzire,,2014,Manual,Petrol,"61,900 km",2nd,"3,85,000",Delhi
229,Datsun,RediGO,,2017,Manual,Petrol,"32,000 km",1st,"2,65,000",Delhi
230,Maruti Suzuki,Swift,,2016,-,Diesel,"65,000 km",1st,"4,80,000",Delhi
231,Mahindra,Scorpio,,2011,Manual,Diesel,"86,000 km",3rd,"3,25,000",Delhi
232,Maruti Suzuki,Ertiga,,2014,Manual,CNG & Hybrids,"85,500 km",2nd,"5,21,000",Delhi
233,Maruti Suzuki,Wagon R,,2016,Manual,CNG & Hybrids,"55,000 km",2nd,"3,29,000",Delhi
234,Renault,KWID,,2016,Manual,Petrol,"50,000 km",1st,"2,90,000",Delhi
235,Hyundai,Santro Xing,,2012,Manual,CNG & Hybrids,"65,000 km",1st,"1,95,000",Delhi
236,Maruti Suzuki,Swift,,2010,Manual,Petrol,"67,800 km",2nd,"2,20,000",Delhi
237,Renault,Triber,,2019,Manual,Petrol,"5,500 km",1st,"6,50,000",Delhi
238,Hyundai,Creta,,2017,Automatic,Petrol,"59,000 km",2nd,"10,00,000",Delhi
239,Toyota,Fortuner,,2017,Automatic,Diesel,"53,000 km",1st,"25,25,000",Delhi
240,Honda,City,,2009,Manual,CNG & Hybrids,"71,000 km",-,"2,50,000",Delhi
241,Hyundai,i20,,2018,Manual,Petrol,"30,000 km",1st,"6,89,999",Delhi
242,Mahindra,XUV500,,2012,Manual,Diesel,"75,000 km",2nd,"4,75,000",Delhi
243,Hyundai,Elite i20,,2014,Manual,Diesel,"49,000 km",1st,"4,50,000",Delhi
244,Honda,City,,2016,Manual,Petrol,"26,000 km",1st,"6,75,000",Delhi
